raw,translation,description
学徒,Apprentice,
工匠,Artisan,
名师,Renowned Artisan,
小师,Master,
宗师,Grandmaster,
炼气,Qi Refining,
炼气期,Qi Refining Stage,
筑基,Foundation Establishment,
筑基期,Foundation Establishment Stage,
金丹,Golden Core,
金丹修士,Golden Core cultivator,
金丹真传,Golden Core True Disciple,
金丹级,Golden Core-level,
元婴,Nascent Soul,
元婴修士,Nascent Soul cultivator,
元婴级,Nascent Soul-level,
化神,Soul Formation,
化神级,Soul Formation-level,
炼虚,Void Refinement,
合体,Body Integration,
合体级,Body Integration-level,
大乘,Grand Ascension,
大乘级,Grand Ascension-level,
渡劫,Tribulation Transcendence,
画像分身,painted avatar,
扶摇峰,Soaring Peak,
南明火炉,Naming Fire Furnace,
班机,Ban Ji,#masculine
班婕,Ban Jie,#feminine
雪枢御喝欠,Snow Pivot Guard Xie,#feminine
雪彩女·慧,Snow-Colored Maiden Hui,#feminine
三光道天洞府,Three Lights Dao Heaven Cave Manor,
《升龙变》,Ascending Dragon Transformation,
《素问剖心卷》,*Heart-Piercing Scroll*,
《高胜遗书》,*Gao Sheng's Lost Writings*,
七情烬玉,Seven Emotions Ember Jade,
七情魔功,Seven Emotions Demonic Art,
万万,Absolutely not,
万川,Ten Thousand Streams,
万川河,Ten Thousand Rivers River,
万年玄冰,Ten-Thousand-Year Profound Ice,
万蝗主,Lord of Myriad Locusts,#masculine
万象,All Phenomena,
万象宗,Myriad Manifestations Sect,
万象灯,Myriad Phenomena Lantern,
万象灯明劫自摧,"When myriad lamps illuminate, the calamity will crumble on its own",
万里游龙,Ten Thousand-Li Traversing Dragon,
万骨悲鸣遁,Ten Thousand Bones' Lamenting Escape,
万鬼噬魂针,Ten Thousand Ghosts Soul-Devouring Needles,
万魂奔流,Myriad Souls Torrent,
三丹田,Three Dantian,
三头死骨巨灵,Three-Headed Dead Bone Giant Spirit,
三宗上法,Three Sects' Supreme Methods,
三将营,Three Generals Camp,
三手猴佛像,Three-Handed Monkey Buddha Statue,
三昧神火,Samadhi Divine Fire,
三生垂世钩,Three Lifetimes World-Hanging Hook,
三途迷心大阵,Three Paths Bewildering Heart Grand Formation,
三途迷瘴,Three Paths Bewildering Miasma,
三魂,Three Souls,
上丹田,Upper Dantian,
上将,General,
上等,high-grade,
下丹田,Lower Dantian,
下等,low-grade,
不空门,Void Sect,
两仪归流阵,Dual Polarity Convergence Formation,
两注国,Two Note Kingdom,
丧乐,Sang Le,
丧乐幽伶,Sorrowful Melody Ghost Seer,#feminine
中军大将,Central Army General,
中等,mid-grade,
临渊蓄鳞,Abyss-Gazing Scale Accumulation,
丹书铁券,Crimson Edict Iron Token,
丹田,dantian,
丹药,Medicinal Pill,
主上,Lord,
九天火龙术,Nine Heavens Fire Dragon Technique,
九幽,Nine Hells,
九幽山,Nine Nether Mountain,
九幽烛火,Nine Nether Candleflame,
九幽阴地,,
九幽黄泉路,Nine Netherworld Yellow Springs Road,
九泉葬身曲,Nine Springs Burial Song,
九渊泄水兜,Nine Abyss Draining Pouch,
书生,Scholar,
买命钱,Life-Buying Coin,
乱命门,Chaos Fate Sect,
乾坤,Heaven and Earth,
云中战场,Cloud Battlefield,
云壁,Cloud Wall,
云层,Cloud Layer,
云海九变,Nine Transformations of the Cloud Sea,
云煞道人,Cloud Demonic Daoist,
云章,Cloud Chapter,
云罗总纲,Cloud Net Grand Canon,
云罗煞衣,Cloud Net Demonic Garment,
云逍,Yunxiao,#masculine
云逍倒影,Yun Xiao's Reflection,
云逍前辈,Senior Yunxiao,#masculine
云道,Yundao,#masculine
云道倒影,Cloud Dao Reflection,
五脏庙灵神术,Five Viscera Temple Spirit Art,
五脏灵神,Five Viscera Spirits,
五脏神灵术,Five Viscera Divine Spirit Art,
五行,Five Elements,
五行法术,Five Elements Spells,
五行金丹,Five Elements Golden Core,
五行金丹轮盘,Five Elements Golden Core Wheel,
亡音叠嶂膏,Death Echo Cascade Ointment,
亡音叠嶂药膏,Death Echo Cascade Ointment,
亡魂,Wailing Soul,
亡魂碎片,Fragments of Departed Souls,
人劫,Human Tribulation,
人命悬丝,Life Hanging by a Thread,
人命悬丝神通,Life Hanging by a Thread Divine Ability,
人族,Human,
人族焦家,Jiao Clan,
人桥,Bone Bridge,
人鬼面相,Human-Ghost Visage,
仙城,Immortal City,
仙城大阵,Immortal City Formation,
仙城法阵,Immortal City Formation,
仙资,Immortal Talent,
佛,Buddha,
佛体,Buddha Body,
佛修,Buddhist cultivator,
佛光,Buddhist Light,
佛医·孟瑶音,Buddhist Doctor - Meng Yaoyin,#feminine
佛家,Buddhist,
佛法,Buddhist Dharma,
佛缘,Buddhist Affinity,
佛轮,Buddhist Wheel,
佛门,Buddhist Sect,
佛陀,Buddha,
佛陀虚影,Buddha's phantom,
修士,Cultivator,
修炼密室,Cultivation Chamber,
修真,Cultivation,
修真界,Cultivation World,
修真者,Cultivator,
储物腰带,Storage Belt,
儒修,Confucian cultivator,
儒家,Confucian,
儒术,Confucian technique,
元神,Primordial Spirit,
元阳,Primordial Yang,
元阴,Primordial Yin,
光阴支流,Branch of Time,
光雁,Light Goose,#feminine
全书楼,All-Book Pavilion,
全军尽墨,Total Army Ink,
公子,Young Master,#masculine
六魄,Six Corporeal Spirits,
兵书,Military Manual,
兵器,Weapon,
兵家,Military Strategist,
兵家修士,Military Strategist cultivator,
兵法,military strategy,
兵法——暗度陈仓,Military Tactic: Covertly Advance While Appearing to Retreat,
